road_user_id,road_user_type,hostname,occurrence,frame_number,section_id,event_coordinate,event_type,direction_vector,video_name,OTCamera,Date,Time
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1125,pedestrian,otcamera29,2023-09-07 17:10:41.722984,12837,,"[312.78448486328125, 555.8119812011719]",leave-scene,"[4.8598480224609375, 9.785003662109375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1126,car,otcamera29,2023-09-07 17:10:40.923080,12821,,"[726.8602294921875, 401.49444580078125]",leave-scene,"[18.9483642578125, 14.82879638671875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1128,car,otcamera29,2023-09-07 17:10:44.172690,12886,,"[725.4174499511719, 366.04644775390625]",leave-scene,"[24.885223388671875, -4.30364990234375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1131,bicyclist,otcamera29,2023-09-07 17:10:36.523608,12733,,"[176.32814025878906, 0.148834228515625]",leave-scene,"[-0.6075210571289062, 0.0021343231201171875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1132,pedestrian,otcamera29,2023-09-07 17:10:47.872246,12960,,"[149.07640075683594, 0.0]",leave-scene,"[-0.6964111328125, 0.0]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1133,pedestrian,otcamera29,2023-09-07 17:10:40.523128,12813,,"[247.26226806640625, 95.15491104125977]",leave-scene,"[-0.1457061767578125, -0.715179443359375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1135,pedestrian,otcamera29,2023-09-07 17:10:40.623116,12815,,"[595.4439697265625, 361.2229766845703]",leave-scene,"[-2.6341552734375, -66.83978271484375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#114,car,otcamera29,2023-09-07 17:01:05.292164,1307,,"[226.90899658203125, 0.0]",leave-scene,"[-1.375030517578125, 0.0]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1140,bicyclist,otcamera29,2023-09-07 17:10:44.372666,12890,,"[509.76318359375, 113.68526840209961]",leave-scene,"[-0.799530029296875, 18.869365692138672]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1143,pedestrian,otcamera29,2023-09-07 17:10:43.072822,12864,,"[484.02520751953125, 348.48814392089844]",leave-scene,"[0.33782958984375, 36.99861145019531]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1144,pedestrian,otcamera29,2023-09-07 17:10:54.071502,13084,,"[196.3401870727539, 68.3536376953125]",leave-scene,"[-10.555030822753906, -5.965141296386719]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1145,pedestrian,otcamera29,2023-09-07 17:11:05.170170,13306,,"[202.77316284179688, 19.047439575195312]",leave-scene,"[-0.795074462890625, -0.6569538116455078]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1147,pedestrian,otcamera29,2023-09-07 17:10:52.571682,13054,,"[184.25616455078125, 89.92080688476562]",leave-scene,"[-0.227325439453125, 2.433837890625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1148,pedestrian,otcamera29,2023-09-07 17:10:42.722864,12857,,"[647.6031494140625, 138.27511596679688]",leave-scene,"[-6.503326416015625, -3.5181121826171875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#115,truck,otcamera29,2023-09-07 17:01:01.242650,1226,,"[474.46580505371094, 0.2754058837890625]",leave-scene,"[-0.0672760009765625, 0.2754058837890625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1153,car,otcamera29,2023-09-07 17:10:48.372186,12970,,"[346.2937927246094, 25.676177978515625]",leave-scene,"[0.056549072265625, -0.10593032836914062]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1154,pedestrian,otcamera29,2023-09-07 17:10:45.172570,12906,,"[486.2342987060547, 337.99009704589844]",leave-scene,"[3.14959716796875, -2.5354156494140625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1156,bicyclist,otcamera29,2023-09-07 17:10:51.421820,13031,,"[664.2124938964844, 313.7572021484375]",leave-scene,"[15.553314208984375, 10.2598876953125]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1158,pedestrian,otcamera29,2023-09-07 17:10:53.021628,13063,,"[226.34722900390625, 99.36967468261719]",leave-scene,"[-0.7218399047851562, -2.32086181640625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1160,bicyclist,otcamera29,2023-09-07 17:10:49.072102,12984,,"[346.42919921875, 27.987823486328125]",leave-scene,"[0.0048370361328125, -0.250244140625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1162,pedestrian,otcamera29,2023-09-07 17:10:46.572402,12934,,"[463.7873840332031, 61.54285430908203]",leave-scene,"[0.266937255859375, -0.034122467041015625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1163,car,otcamera29,2023-09-07 17:10:56.871166,13140,,"[762.7228698730469, 204.99864196777344]",leave-scene,"[-0.001617431640625, 0.01749420166015625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1164,car,otcamera29,2023-09-07 17:12:43.808332,15279,,"[385.70928955078125, 26.984298706054688]",leave-scene,"[-5.0214385986328125, -0.5861587524414062]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1165,pedestrian,otcamera29,2023-09-07 17:10:50.021988,13003,,"[245.40703582763672, 97.79054260253906]",leave-scene,"[-0.533599853515625, -0.17935943603515625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
